Nama File,Mean R,Mean G,Mean B,Total RGB,Ratio R/B,Prediksi Cuaca
Clear Sky.png,93.53733825683594,175.7860870361328,242.09715270996094,511.4205780029297,0.38636281843800224,Langit Cerah
Clear Sky1.png,57.85865783691406,131.94882202148438,185.64723205566406,375.4547119140625,0.31165914620028295,Langit Cerah
Cumulus.png,84.498779296875,112.62283325195312,144.4158172607422,341.5374298095703,0.5851075103796476,Berawan
Cumulus1.png,136.568603515625,151.72389221191406,168.79222106933594,457.084716796875,0.8090929940398485,Berawan
Cumulus2.png,107.34086608886719,179.59423828125,201.2611083984375,488.1962127685547,0.5333413243276193,Berawan
Nimbostratus.png,114.16261291503906,115.1885986328125,122.46023559570312,351.8114471435547,0.9322423100012784,Mendung
Nimbostratus1.png,92.44313049316406,103.78923034667969,112.61566162109375,308.8480224609375,0.820872773488628,Mendung
Nimbostratus2.png,123.38040161132812,121.65560913085938,98.82760620117188,343.8636169433594,1.2484406569575002,Mendung
Sunset.png,206.36962890625,133.0909881591797,91.12451171875,430.5851287841797,2.264699420757356,Senja
Sunset1.png,169.38690185546875,73.84928894042969,19.84002685546875,263.0762176513672,8.537634706314854,Senja
